puma,puma_geoid20,puma_name,puma_short,vintage,source_url,puma_label
07301,0607301,San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,(Northwest)--Oceanside City & Camp Pendleton,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Oceanside City & Camp Pendleton
07302,0607302,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center PUMA","(North & East)--Fallbrook, Alpine & Valley Center",2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,"Fallbrook, Alpine & Valley Center"
07306,0607306,San Diego County (Northwest)--Escondido City (East) PUMA,(Northwest)--Escondido City (East),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Escondido City (East)
07307,0607307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA","(Central)--Lakeside, Winter Gardens & Ramona",2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,"Lakeside, Winter Gardens & Ramona"
07308,0607308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,(Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego (Northeast/Rancho Bernardo) & Poway Cities
07310,0607310,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,(West)--San Diego City (Southwest/Central Coastal),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Southwest/Central Coastal)
07311,0607311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,(West Central)--San Diego City (Northwest/Del Mar Mesa),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Northwest/Del Mar Mesa)
07312,0607312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,(Central)--San Diego City (Central/Mira Mesa & University Heights),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Central/Mira Mesa & University Heights)
07313,0607313,San Diego County (Central)--El Cajon & Santee Cities PUMA,(Central)--El Cajon & Santee Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,El Cajon & Santee Cities
07314,0607314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,(Central)--San Diego (East Central/Navajo) & La Mesa Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego (East Central/Navajo) & La Mesa Cities
07315,0607315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,(West Central)--San Diego City (Central/Clairemont & Kearny Mesa),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Central/Clairemont & Kearny Mesa)
07316,0607316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,(South Central)--San Diego City (Central/Centre City & Balboa Park),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Central/Centre City & Balboa Park)
07317,0607317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,(South Central)--San Diego City (Central/Mid-City),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Central/Mid-City)
07322,0607322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,(South)--San Diego City (South/Otay Mesa & South Bay),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (South/Otay Mesa & South Bay)
07323,0607323,San Diego County (Northwest)--Vista City PUMA,(Northwest)--Vista City,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Vista City
07324,0607324,San Diego County (Northwest)--Carlsbad City PUMA,(Northwest)--Carlsbad City,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Carlsbad City
07325,0607325,San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,(Northwest)--San Marcos & Escondido (West) Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Marcos & Escondido (West) Cities
07326,0607326,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,(West)--San Diego (Northwest/San Dieguito) & Encinitas Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego (Northwest/San Dieguito) & Encinitas Cities
07327,0607327,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,(South)--San Diego City (Southeast/Encanto & Skyline),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,San Diego City (Southeast/Encanto & Skyline)
07328,0607328,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA","(South Central)--Lemon Grove City, La Presa & Spring Valley",2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,"Lemon Grove City, La Presa & Spring Valley"
07329,0607329,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,(Southwest)--Sweetwater Region--Chula Vista City (East),2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Sweetwater Region / Chula Vista City (East)
07330,0607330,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA,(Southwest)--Chula Vista (West) & National City Cities,2020 PUMA (TIGER/Line 2023),https://www2.census.gov/geo/tiger/TIGER2023/PUMA/tl_2023_06_puma20.zip,Chula Vista (West) & National City Cities
