geoid,households,puma,median_income,median_hlb,median_housing_month,median_childcare_month,vulnerable_rate,kids_share,median_gap,featured
06073009510,1167,07314,58094.0,145914.0,5180.0,803.0,0.874,0.5253,87820.0,True
06073009511,970,07314,76651.0,168390.0,5180.0,803.0,0.8361,0.5948,91739.0,True
06073018700,7260,07301,67657.0,109190.0,2983.0,0.0,0.8087,0.3605,41533.0,True
06073015901,985,07313,49639.0,102028.0,2692.0,0.0,0.803,0.3898,52389.0,True
06073015704,1436,07313,47170.0,103959.0,2869.0,0.0,0.8029,0.367,56789.0,True
06073010112,1491,07322,65579.0,98697.0,2640.0,0.0,0.7894,0.3434,33118.0,True
06073015701,2336,07313,43669.0,68219.0,1830.0,0.0,0.7804,0.2641,24550.0,True
06073020214,1857,07306,40929.0,73957.0,2117.0,0.0,0.7738,0.2256,33028.0,True
06073003304,1129,07327,45343.0,81924.0,2370.0,0.0,0.7679,0.2631,36581.0,True
06073008305,469,07312,43656.0,81781.0,2570.0,0.0,0.7655,0.0768,38125.0,True
06073015706,811,07313,39325.0,71184.0,1992.0,0.0,0.7633,0.2577,31859.0,False
06073012501,1497,07330,44389.0,71457.0,1990.0,0.0,0.7629,0.2278,27068.0,False
06073018618,985,07301,83901.0,120748.0,3880.0,0.0,0.7604,0.4193,36847.0,False
06073012002,1304,07330,45686.0,64819.0,1650.0,0.0,0.76,0.2485,19133.0,False
06073010013,1580,07322,69208.0,99181.0,2656.0,0.0,0.7589,0.3399,29973.0,False
06073020202,2159,07306,55008.0,85050.0,2495.0,0.0,0.7578,0.3247,30042.0,False
06073003305,1659,07327,49747.0,88310.0,2102.0,0.0,0.7559,0.3586,38563.0,False
06073020028,966,07325,62133.0,100375.0,2580.0,0.0,0.7557,0.3841,38242.0,False
06073020213,1233,07306,61101.0,95838.0,2494.0,0.0,0.7526,0.3861,34737.0,False
06073009400,513,07312,87166.0,145520.0,4530.0,0.0,0.7505,0.3743,58354.0,False
06073003111,1846,07327,56213.0,99854.0,2605.0,0.0,0.7481,0.3407,43641.0,False
06073002708,1972,07317,38320.0,68632.0,1925.0,0.0,0.747,0.1968,30312.0,False
06073019502,1535,07323,63545.0,108513.0,2580.0,0.0,0.7407,0.4137,44968.0,False
06073003502,1191,07327,56213.0,88843.0,2100.0,0.0,0.7397,0.3367,32630.0,False
06073011802,2045,07330,58428.0,88292.0,2080.0,0.0,0.7335,0.3663,29864.0,False
06073005103,739,07316,36752.0,61624.0,2295.0,0.0,0.7334,0.2097,24872.0,False
06073010005,2270,07322,32900.0,65693.0,1660.0,0.0,0.7313,0.2291,32793.0,False
06073013206,2147,07330,57276.0,73335.0,2060.0,0.0,0.7289,0.2306,16059.0,False
06073020036,1043,07325,65067.0,100814.0,2580.0,0.0,0.7277,0.3221,35747.0,False
06073016302,1778,07313,50864.0,92928.0,2300.0,0.0,0.7238,0.3684,42064.0,False
06073015801,1448,07313,56702.0,73929.0,2336.0,0.0,0.721,0.2638,17227.0,False
06073015902,1760,07313,47409.0,93321.0,2340.0,0.0,0.7199,0.358,45912.0,False
06073010110,1997,07322,77544.0,101407.0,2640.0,0.0,0.7181,0.3465,23863.0,False
06073015407,1266,07313,49492.0,74802.0,1894.0,0.0,0.718,0.2899,25310.0,False
06073011700,2647,07330,53338.0,69629.0,1895.0,0.0,0.7159,0.2425,16291.0,False
06073013104,1805,07330,65991.0,96697.0,2590.0,0.0,0.7114,0.2958,30706.0,False
06073021900,742,07330,52211.0,66031.0,1650.0,0.0,0.7102,0.2372,13820.0,False
06073020206,1290,07306,70639.0,99733.0,2400.0,0.0,0.7093,0.4178,29094.0,False
06073003602,841,07327,66194.0,106091.0,2830.0,0.0,0.7087,0.4233,39897.0,False
06073013303,1438,07330,73981.0,88009.0,2590.0,0.0,0.7086,0.2851,14028.0,False
06073018615,836,07301,69237.0,106260.0,2923.0,0.0,0.7057,0.3421,37023.0,False
06073018519,1373,07301,89375.0,132735.0,3917.0,0.0,0.7043,0.4552,43360.0,False
06073005202,3521,07316,47659.0,75816.0,2950.0,0.0,0.7041,0.0344,28157.0,False
06073020209,1693,07306,54991.0,71458.0,1900.0,0.0,0.7017,0.2664,16467.0,False
06073003501,1004,07327,67122.0,98774.0,2940.0,0.0,0.7012,0.3406,31652.0,False
06073004900,1598,07316,52473.0,93131.0,2393.0,0.0,0.7009,0.3786,40658.0,False
06073010106,1328,07322,74113.0,96858.0,2502.0,0.0,0.6995,0.3486,22745.0,False
06073011602,1314,07330,62968.0,80935.0,2080.0,0.0,0.6986,0.2679,17967.0,False
06073010010,1583,07322,63961.0,76372.0,2100.0,0.0,0.698,0.2508,12411.0,False
06073020108,1522,07306,69410.0,98916.0,2570.0,0.0,0.6938,0.3417,29506.0,False
06073004000,1184,07316,56418.0,93787.0,2377.0,0.0,0.6934,0.4088,37369.0,False
06073018621,563,07301,74054.0,107854.0,2938.0,0.0,0.6927,0.3659,33800.0,False
06073021102,999,07302,63719.0,80292.0,2032.0,0.0,0.6927,0.2062,16573.0,False
06073012302,774,07330,43351.0,52124.0,1830.0,0.0,0.6925,0.1047,8773.0,False
06073018616,1462,07301,52078.0,80363.0,2400.0,0.0,0.6922,0.1662,28285.0,False
06073016404,904,07313,47730.0,71255.0,1830.0,0.0,0.6914,0.3219,23525.0,False
06073013204,1265,07330,67271.0,99300.0,2590.0,0.0,0.6909,0.2909,32029.0,False
06073002904,2551,07317,53696.0,73687.0,2137.0,0.0,0.6907,0.2238,19991.0,False
06073020207,1498,07306,76730.0,99804.0,2620.0,0.0,0.6896,0.3805,23074.0,False
06073013205,702,07330,60076.0,98113.0,2590.0,0.0,0.6866,0.2934,38037.0,False
06073013307,1260,07330,77442.0,102267.0,2590.0,0.0,0.6865,0.3119,24825.0,False
06073013103,729,07330,81509.0,99241.0,2590.0,0.0,0.6859,0.3032,17732.0,False
06073002707,1616,07317,55724.0,89934.0,2347.0,0.0,0.6832,0.2896,34210.0,False
06073019205,2041,07323,63680.0,74939.0,2050.0,0.0,0.6815,0.2636,11259.0,False
06073003902,1361,07316,41979.0,65518.0,1670.0,0.0,0.6811,0.23,23539.0,False
06073002709,1192,07317,61579.0,89109.0,2170.0,0.0,0.6745,0.3003,27530.0,False
06073020601,1892,07306,67166.0,97038.0,2480.0,0.0,0.6734,0.3372,29872.0,False
06073003404,1134,07327,84696.0,117141.0,3210.0,0.0,0.6728,0.3845,32445.0,False
06073012502,1696,07330,65482.0,71391.0,1990.0,0.0,0.6716,0.2435,5909.0,False
06073002601,1611,07317,68149.0,92368.0,2170.0,0.0,0.671,0.3426,24219.0,False
06073010103,2184,07322,67032.0,74867.0,2098.0,0.0,0.6703,0.2399,7835.0,False
06073014400,1992,07328,52473.0,52429.0,1837.0,0.0,0.6697,0.1757,-44.0,False
06073010009,1439,07322,71068.0,92319.0,2090.0,0.0,0.6692,0.3579,21251.0,False
06073002302,2037,07317,55839.0,79306.0,2304.0,0.0,0.6681,0.2666,23467.0,False
06073010107,1663,07322,83433.0,101506.0,2640.0,0.0,0.6681,0.3163,18073.0,False
06073003004,1484,07327,70254.0,95550.0,2380.0,0.0,0.6678,0.3363,25296.0,False
06073013203,2112,07330,62844.0,86301.0,2590.0,0.0,0.6676,0.2438,23457.0,False
06073012700,1688,07330,76076.0,88398.0,2510.0,0.0,0.6665,0.2541,12322.0,False
06073020308,2985,07325,52058.0,73282.0,2040.0,0.0,0.6657,0.1494,21224.0,False
06073002201,1436,07317,39066.0,50232.0,1735.0,0.0,0.6643,0.1274,11166.0,False
06073009603,3549,07314,61223.0,72081.0,2736.0,0.0,0.6641,0.1138,10858.0,False
06073013102,2093,07330,71618.0,98666.0,2590.0,0.0,0.6641,0.3005,27048.0,False
06073018609,1801,07301,78204.0,107036.0,2880.0,0.0,0.6619,0.3393,28832.0,False
06073002710,1110,07317,65810.0,89433.0,2170.0,0.0,0.6604,0.3387,23623.0,False
06073003201,1531,07327,79431.0,102126.0,2710.0,0.0,0.6604,0.3396,22695.0,False
06073005000,718,07316,54824.0,65165.0,1670.0,0.0,0.6602,0.2744,10341.0,False
06073012200,944,07330,61008.0,90277.0,2080.0,0.0,0.66,0.2966,29269.0,False
06073019404,791,07323,94961.0,141290.0,3490.0,0.0,0.6599,0.4652,46329.0,False
06073015601,2076,07313,69265.0,84030.0,2277.0,0.0,0.6594,0.289,14765.0,False
06073018509,1910,07301,71068.0,89727.0,2739.0,0.0,0.6592,0.3031,18659.0,False
06073013308,1063,07330,104011.0,121551.0,3490.0,0.0,0.6585,0.3424,17540.0,False
06073002202,1601,07317,52475.0,64765.0,1720.0,0.0,0.6583,0.2105,12290.0,False
06073020017,1069,07323,69044.0,79653.0,2282.0,0.0,0.6576,0.2367,10609.0,False
06073002712,1766,07317,54072.0,68253.0,1743.0,0.0,0.6569,0.2435,14181.0,False
06073013000,1872,07330,69369.0,90372.0,2759.0,0.0,0.6554,0.219,21003.0,False
06073003403,998,07327,75923.0,94966.0,2380.0,0.0,0.6543,0.3196,19043.0,False
06073020812,816,07307,63493.0,80286.0,2210.0,0.0,0.652,0.2194,16793.0,False
06073010111,867,07322,79431.0,119644.0,2820.0,0.0,0.6517,0.4521,40213.0,False
06073015705,1280,07313,59757.0,70908.0,1860.0,0.0,0.6492,0.2234,11151.0,False
06073013325,1950,07329,86439.0,114637.0,3950.0,0.0,0.6487,0.2446,28198.0,False
06073002402,1735,07317,55860.0,68956.0,1937.0,0.0,0.6478,0.2248,13096.0,False
06073016502,2480,07313,63568.0,94274.0,2300.0,0.0,0.6472,0.3286,30706.0,False
06073016617,1590,07313,47730.0,76868.0,2160.0,0.0,0.6465,0.1824,29138.0,False
06073003901,1070,07316,65991.0,105323.0,2848.0,0.0,0.6439,0.4393,39332.0,False
06073003303,1414,07327,71594.0,76758.0,2100.0,0.0,0.6421,0.2822,5164.0,False
06073018510,1071,07301,78174.0,76975.0,2100.0,0.0,0.6405,0.2577,-1199.0,False
06073016301,1804,07313,59993.0,69652.0,1844.0,0.0,0.6397,0.2838,9659.0,False
06073003301,1012,07327,69208.0,91881.0,2101.0,0.0,0.6393,0.3251,22673.0,False
06073020211,2047,07306,62968.0,71215.0,1900.0,0.0,0.639,0.2526,8247.0,False
06073010502,2142,07322,70314.0,86431.0,2637.0,0.0,0.6387,0.2409,16117.0,False
06073012402,1918,07330,68783.0,71111.0,1990.0,0.0,0.6376,0.2122,2328.0,False
06073018622,1876,07301,78993.0,80692.0,2400.0,0.0,0.6322,0.2372,1699.0,False
06073003208,1931,07327,99175.0,101666.0,2710.0,0.0,0.6318,0.3097,2491.0,False
06073020021,1640,07325,80398.0,105068.0,2693.0,0.0,0.6299,0.3604,24670.0,False
06073012600,1526,07330,77393.0,97415.0,2528.0,0.0,0.6239,0.2674,20022.0,False
06073010402,1813,07322,70357.0,96043.0,2502.0,0.0,0.6238,0.2675,25686.0,False
06073013306,1143,07330,90053.0,109727.0,2590.0,0.0,0.622,0.3316,19674.0,False
06073019501,785,07323,86763.0,98932.0,2590.0,0.0,0.6217,0.3439,12169.0,False
06073008600,2257,07315,66967.0,75215.0,2130.0,0.0,0.6203,0.2424,8248.0,False
06073003209,1772,07327,82672.0,101036.0,2710.0,0.0,0.6202,0.2664,18364.0,False
06073011601,1666,07330,77965.0,86999.0,2080.0,0.0,0.6188,0.3007,9034.0,False
06073018512,2018,07301,61423.0,79528.0,2299.0,0.0,0.6179,0.1046,18105.0,False
06073008363,1962,07312,75562.0,86845.0,2890.0,0.0,0.6177,0.1692,11283.0,False
06073002602,1406,07317,65004.0,88991.0,2170.0,0.0,0.6166,0.2688,23987.0,False
06073015802,1521,07313,61919.0,69061.0,1860.0,0.0,0.6114,0.2229,7142.0,False
06073003601,748,07327,85217.0,118986.0,2830.0,0.0,0.6096,0.3957,33769.0,False
06073013320,1863,07329,127922.0,158755.0,5500.0,0.0,0.6082,0.3618,30833.0,False
06073013418,2087,07329,95221.0,95867.0,3130.0,0.0,0.6076,0.2333,646.0,False
06073019503,1671,07323,86296.0,80478.0,2588.0,0.0,0.6068,0.2998,-5818.0,False
06073016504,2244,07313,66854.0,69812.0,1830.0,0.0,0.6043,0.2696,2958.0,False
06073019210,1815,07323,87312.0,100920.0,2580.0,0.0,0.6039,0.3339,13608.0,False
06073003212,1042,07327,92995.0,105223.0,2710.0,0.0,0.6017,0.2994,12228.0,False
06073003214,1587,07327,77620.0,77594.0,2451.0,0.0,0.5999,0.2231,-26.0,False
06073019902,1281,07323,83464.0,103401.0,2589.0,0.0,0.5995,0.3193,19937.0,False
06073003603,984,07327,71094.0,77370.0,2100.0,0.0,0.5986,0.2663,6276.0,False
06073020313,1192,07325,61446.0,81866.0,2343.0,0.0,0.5982,0.1208,20420.0,False
06073021101,1687,07302,66585.0,78654.0,1954.0,0.0,0.5916,0.2258,12069.0,False
06073006600,477,07310,105832.0,138665.0,3877.0,0.0,0.5912,0.4465,32833.0,False
06073001600,2348,07317,72892.0,73121.0,2170.0,0.0,0.5894,0.1699,229.0,False
06073008378,391,07312,69208.0,81151.0,2570.0,0.0,0.5882,0.1279,11943.0,False
06073013907,1239,07328,74852.0,69070.0,1790.0,0.0,0.5868,0.2534,-5782.0,False
06073013608,1562,07328,74026.0,79362.0,2290.0,0.0,0.5858,0.178,5336.0,False
06073003115,1741,07327,103454.0,98263.0,2405.0,0.0,0.5836,0.2757,-5191.0,False
06073002711,1039,07317,84319.0,96460.0,2316.0,0.0,0.5833,0.3474,12141.0,False
06073011801,1100,07330,62968.0,65364.0,1650.0,0.0,0.5818,0.2164,2396.0,False
06073019805,1393,07324,80653.0,81540.0,2446.0,0.0,0.5815,0.2211,887.0,False
06073015301,1079,07313,75857.0,95363.0,2340.0,0.0,0.5811,0.3438,19506.0,False
06073020500,1326,07306,84720.0,99369.0,2480.0,0.0,0.5799,0.3167,14649.0,False
06073020041,991,07325,82672.0,101230.0,2580.0,0.0,0.5792,0.3078,18558.0,False
06073016616,1371,07313,69089.0,77227.0,2116.0,0.0,0.5784,0.2144,8138.0,False
06073004800,1254,07316,64843.0,69201.0,1885.0,0.0,0.5781,0.2018,4358.0,False
06073020037,1364,07325,107856.0,115844.0,3200.0,0.0,0.577,0.3233,7988.0,False
06073010004,1095,07322,105472.0,104290.0,2640.0,0.0,0.5744,0.3269,-1182.0,False
06073003003,1554,07327,83532.0,75683.0,1886.0,0.0,0.574,0.2413,-7849.0,False
06073013302,1469,07330,110089.0,104174.0,2590.0,0.0,0.5739,0.2764,-5915.0,False
06073012303,1192,07330,71170.0,72742.0,1990.0,0.0,0.5738,0.2173,1572.0,False
06073020029,2563,07325,78204.0,77011.0,2228.0,0.0,0.5735,0.2107,-1193.0,False
06073013506,1211,07328,109038.0,135384.0,4090.0,0.0,0.5731,0.3476,26346.0,False
06073018520,1579,07301,98650.0,107370.0,2880.0,0.0,0.5731,0.3008,8720.0,False
06073018620,601,07301,107261.0,122610.0,3880.0,0.0,0.5724,0.3877,15349.0,False
06073022000,1663,07330,74302.0,64921.0,1650.0,0.0,0.5719,0.2225,-9381.0,False
06073018904,1879,07302,81875.0,69475.0,1700.0,0.0,0.5689,0.3081,-12400.0,False
06073005601,1946,07316,61384.0,75782.0,2950.0,0.0,0.5683,0.0447,14398.0,False
06073012102,910,07330,73463.0,67976.0,1650.0,0.0,0.5681,0.2462,-5487.0,False
06073013324,910,07329,127677.0,128465.0,3950.0,0.0,0.567,0.2857,788.0,False
06073003112,1187,07327,96861.0,97493.0,2380.0,0.0,0.5653,0.289,632.0,False
06073014300,1253,07328,92934.0,94476.0,2320.0,0.0,0.5642,0.3472,1542.0,False
06073003211,894,07327,94002.0,104582.0,2710.0,0.0,0.5638,0.2763,10580.0,False
06073010401,815,07322,75969.0,71834.0,1980.0,0.0,0.5607,0.2037,-4135.0,False
06073018524,1290,07301,103229.0,79643.0,2290.0,0.0,0.5605,0.2287,-23586.0,False
06073005700,1016,07316,75164.0,75840.0,2950.0,0.0,0.56,0.0512,676.0,False
06073020602,1952,07306,78081.0,72702.0,1965.0,0.0,0.5594,0.2505,-5379.0,False
06073012401,1198,07330,82204.0,71506.0,1990.0,0.0,0.5584,0.2404,-10698.0,False
06073010012,1297,07322,101665.0,105098.0,2820.0,0.0,0.5559,0.34,3433.0,False
06073008800,2008,07315,84048.0,73773.0,2130.0,0.0,0.5553,0.252,-10275.0,False
06073020210,1694,07306,73232.0,72288.0,1900.0,0.0,0.5543,0.2202,-944.0,False
06073010001,1019,07322,105840.0,103327.0,2640.0,0.0,0.5525,0.2846,-2513.0,False
06073018613,1203,07301,84875.0,81481.0,2400.0,0.0,0.552,0.2535,-3394.0,False
06073002804,1610,07317,84138.0,85686.0,2490.0,0.0,0.5516,0.2658,1548.0,False
06073013316,2228,07329,139594.0,158016.0,5500.0,0.0,0.5512,0.3344,18422.0,False
06073012800,1330,07330,79510.0,73402.0,1990.0,0.0,0.5504,0.2338,-6108.0,False
06073018905,1805,07302,95922.0,99964.0,2466.0,0.0,0.5496,0.3241,4042.0,False
06073016804,2925,07307,89207.0,86752.0,2440.0,0.0,0.5491,0.2899,-2455.0,False
06073013906,1712,07328,74852.0,70964.0,1790.0,0.0,0.5473,0.236,-3888.0,False
06073010109,1114,07322,115966.0,104083.0,2640.0,0.0,0.5458,0.3366,-11883.0,False
06073019206,1508,07323,95817.0,101156.0,2580.0,0.0,0.5458,0.3389,5339.0,False
06073018511,1891,07301,74697.0,75354.0,2100.0,0.0,0.5452,0.1877,657.0,False
06073003101,1038,07327,95400.0,106593.0,3210.0,0.0,0.5443,0.3141,11193.0,False
06073020707,1577,07306,99039.0,97713.0,2480.0,0.0,0.5434,0.3012,-1326.0,False
06073018518,897,07301,106926.0,111540.0,3090.0,0.0,0.5429,0.3411,4614.0,False
06073018302,654,07301,63912.0,73768.0,2100.0,0.0,0.5428,0.0688,9856.0,False
06073016809,1881,07307,88300.0,73801.0,1830.0,0.0,0.5407,0.252,-14499.0,False
06073020208,763,07306,108429.0,137108.0,3240.0,0.0,0.5387,0.4194,28679.0,False
06073016403,1640,07313,80663.0,101161.0,2547.0,0.0,0.5384,0.3061,20498.0,False
06073008345,1879,07312,84481.0,90251.0,2890.0,0.0,0.5381,0.1421,5770.0,False
06073002501,1439,07317,72788.0,79954.0,2242.0,0.0,0.5379,0.2794,7166.0,False
06073018903,1653,07302,79970.0,69929.0,1700.0,0.0,0.5378,0.2632,-10041.0,False
06073014002,1202,07328,79386.0,84410.0,2300.0,0.0,0.5374,0.2696,5024.0,False
06073017902,1300,07324,92222.0,82188.0,2480.0,0.0,0.5369,0.1631,-10034.0,False
06073014806,1618,07314,65277.0,74603.0,2189.0,0.0,0.5365,0.1452,9326.0,False
06073008339,770,07312,83958.0,84100.0,2660.0,0.0,0.5351,0.1234,142.0,False
06073013301,1603,07330,95459.0,75997.0,2055.0,0.0,0.5346,0.2109,-19462.0,False
06073021302,1421,07328,116491.0,112685.0,2918.0,0.0,0.5341,0.2752,-3806.0,False
06073018201,1283,07301,75634.0,74291.0,2100.0,0.0,0.5339,0.1824,-1343.0,False
06073019305,1793,07301,81555.0,81798.0,2450.0,0.0,0.5315,0.1428,243.0,False
06073008377,1027,07312,83958.0,87389.0,2890.0,0.0,0.5307,0.0954,3431.0,False
06073006500,1653,07310,68015.0,60336.0,2214.0,0.0,0.5306,0.0641,-7679.0,False
06073016705,1849,07307,78174.0,73227.0,1940.0,0.0,0.5295,0.2158,-4947.0,False
06073020903,1168,07302,65390.0,70479.0,1499.0,0.0,0.5291,0.1207,5089.0,False
06073021205,2609,07302,86057.0,80748.0,2197.0,0.0,0.5282,0.2001,-5309.0,False
06073003103,1731,07327,113302.0,99314.0,2380.0,0.0,0.5274,0.3258,-13988.0,False
06073010300,1518,07322,81912.0,72627.0,1980.0,0.0,0.527,0.1653,-9285.0,False
06073011902,1899,07330,80205.0,67065.0,1650.0,0.0,0.5261,0.2133,-13140.0,False
06073002703,2336,07317,86040.0,74186.0,2045.0,0.0,0.5257,0.2457,-11854.0,False
06073020019,2941,07325,89444.0,85420.0,2532.0,0.0,0.5253,0.1394,-4024.0,False
06073008343,1797,07312,94418.0,87337.0,2890.0,0.0,0.5237,0.1464,-7081.0,False
06073003202,1297,07327,99994.0,104228.0,2741.0,0.0,0.5235,0.2945,4234.0,False
