zip,area,median_income,median_rent,rent_burden_pct,rent_growth_rate,income_growth_rate,runway_months,featured
92113,Logan Heights,45000,1900,0.5067,0.055,0.020,0.0,True
92173,San Ysidro,44000,1850,0.5045,0.055,0.020,0.0,True
92105,City Heights,47000,1950,0.4979,0.060,0.020,1.3,True
92102,Golden Hill,52000,2100,0.4846,0.065,0.025,9.8,True
92154,Otay Mesa,53000,2050,0.4642,0.060,0.025,26.6,True
92115,Rolando,61000,2300,0.4525,0.065,0.030,35.8,True
92114,Encanto,58000,2200,0.4552,0.060,0.030,39.2,True
92101,Downtown,68000,2450,0.4324,0.070,0.030,45.8,True
92104,North Park,72000,2400,0.4000,0.062,0.031,90.6,False
92116,Normal Heights,69000,2350,0.4087,0.061,0.030,80.1,False
92111,Linda Vista,76000,2450,0.3868,0.055,0.032,138.2,False
92126,Mira Mesa,84000,2600,0.3714,0.050,0.035,248.0,False
92117,Clairemont,81000,2550,0.3778,0.052,0.034,190.4,False
92109,Pacific Beach,95000,3100,0.3916,0.055,0.036,143.7,False
92037,La Jolla,145000,3800,0.3145,0.045,0.040,1160.0,False
